Latitude (decimal degrees):	51.496
Longitude (decimal degrees):	10.808
Elevation (m):	177
Radiation database:	PVGIS-SARAH2


Slope: 45 deg. 
Azimuth: 4 deg. 
time,G(i),H_sun,T2m,WS10m,Int
20200103:2010,0.0,0.0,6.18,5.79,0.0
20200103:2110,0.0,0.0,6.47,5.52,0.0
20200103:2210,0.0,0.0,5.79,5.45,0.0
20200103:2310,0.0,0.0,4.75,4.62,0.0
20200104:0010,0.0,0.0,3.84,4.07,0.0
20200104:0110,0.0,0.0,3.49,3.93,0.0
20200104:0210,0.0,0.0,3.18,4.07,0.0
20200104:0310,0.0,0.0,2.84,4.14,0.0
20200104:0410,0.0,0.0,2.45,4.21,0.0
20200104:0510,0.0,0.0,2.13,4.55,0.0
20200104:0610,0.0,0.0,2.07,4.83,0.0
20200104:0710,0.0,0.0,2.32,5.03,0.0
20200104:0810,28.41,4.85,2.32,5.17,0.0
20200104:0910,70.59,10.44,2.45,5.31,0.0
20200104:1010,60.86,14.18,2.83,5.79,0.0
20200104:1110,72.33,15.74,3.32,6.55,0.0
20200104:1210,107.74,14.98,3.68,6.97,0.0
20200104:1310,19.4,11.98,3.95,6.69,0.0
20200104:1410,47.51,7.0,4.15,6.69,0.0
20200104:1510,0.0,0.0,4.0,6.62,0.0
20200104:1610,0.0,0.0,4.12,6.07,0.0
20200104:1710,0.0,0.0,4.06,5.31,0.0
20200104:1810,0.0,0.0,3.86,4.76,0.0
20200104:1910,0.0,0.0,3.58,4.62,0.0
20200104:2010,0.0,0.0,2.88,4.21,0.0
20200104:2110,0.0,0.0,2.32,3.93,0.0
20200104:2210,0.0,0.0,2.04,3.79,0.0
20200104:2310,0.0,0.0,1.53,3.59,0.0
20200105:0010,0.0,0.0,1.34,3.31,0.0
20200105:0110,0.0,0.0,1.0,3.03,0.0
20200105:0210,0.0,0.0,0.72,2.9,0.0
20200105:0310,0.0,0.0,0.11,2.97,0.0
20200105:0410,0.0,0.0,-0.42,2.83,0.0
20200105:0510,0.0,0.0,-0.78,2.55,0.0
20200105:0610,0.0,0.0,-1.2,2.14,0.0
20200105:0710,0.0,0.0,-1.41,1.86,0.0
20200105:0810,132.35,4.9,-2.31,1.66,0.0
20200105:0910,171.79,10.51,-0.77,1.03,0.0
20200105:1010,115.99,14.26,1.19,1.1,0.0
20200105:1110,156.93,15.84,2.15,1.66,0.0
20200105:1210,406.7,15.1,2.66,1.86,0.0
20200105:1310,94.72,12.11,2.59,1.79,0.0
20200105:1410,41.73,7.14,2.71,1.93,0.0
20200105:1510,0.0,0.0,2.63,1.79,0.0
20200105:1610,0.0,0.0,2.38,1.79,0.0
20200105:1710,0.0,0.0,2.65,1.79,0.0
20200105:1810,0.0,0.0,2.84,1.79,0.0
20200105:1910,0.0,0.0,3.06,2.14,0.0
20200105:2010,0.0,0.0,3.09,2.28,0.0
20200105:2110,0.0,0.0,3.14,2.41,0.0
20200105:2210,0.0,0.0,3.29,2.62,0.0
20200105:2310,0.0,0.0,3.28,2.83,0.0
20200106:0010,0.0,0.0,3.24,2.9,0.0
20200106:0110,0.0,0.0,2.97,2.83,0.0
20200106:0210,0.0,0.0,2.96,2.69,0.0
20200106:0310,0.0,0.0,2.67,2.55,0.0
20200106:0410,0.0,0.0,2.52,2.41,0.0
20200106:0510,0.0,0.0,2.42,2.28,0.0
20200106:0610,0.0,0.0,2.3,2.0,0.0
20200106:0710,0.0,0.0,2.49,2.41,0.0
20200106:0810,19.4,4.96,2.3,2.34,0.0
20200106:0910,42.34,10.58,2.76,2.41,0.0
20200106:1010,54.69,14.36,3.21,3.24,0.0
20200106:1110,86.72,15.96,3.41,2.83,0.0
20200106:1210,60.86,15.23,3.67,2.69,0.0
20200106:1310,49.39,12.25,3.77,2.48,0.0
20200106:1410,27.34,7.29,3.58,2.07,0.0
20200106:1510,0.0,0.0,3.05,1.86,0.0
20200106:1610,0.0,0.0,2.12,1.86,0.0
20200106:1710,0.0,0.0,1.86,1.93,0.0
20200106:1810,0.0,0.0,1.46,2.0,0.0
20200106:1910,0.0,0.0,0.21,2.07,0.0
20200106:2010,0.0,0.0,-0.16,2.21,0.0
20200106:2110,0.0,0.0,-0.57,2.41,0.0
20200106:2210,0.0,0.0,-0.65,2.48,0.0
20200106:2310,0.0,0.0,-0.47,2.41,0.0
20200107:0010,0.0,0.0,-0.6,2.69,0.0
20200107:0110,0.0,0.0,-0.13,3.31,0.0
20200107:0210,0.0,0.0,-0.07,3.03,0.0
20200107:0310,0.0,0.0,-0.01,3.1,0.0
20200107:0410,0.0,0.0,0.27,3.24,0.0
20200107:0510,0.0,0.0,0.61,3.03,0.0
20200107:0610,0.0,0.0,1.17,2.97,0.0
20200107:0710,0.0,0.0,1.21,3.1,0.0
20200107:0810,94.56,5.03,1.75,3.03,0.0
20200107:0910,54.78,10.67,2.27,2.97,0.0
20200107:1010,67.03,14.46,2.87,2.76,0.0
20200107:1110,60.86,16.08,3.4,2.76,0.0
20200107:1210,60.86,15.37,3.94,3.03,0.0
20200107:1310,102.5,12.4,4.32,3.03,0.0
20200107:1410,66.87,7.44,4.49,2.76,0.0
20200107:1510,0.0,0.0,4.05,2.69,0.0
20200107:1610,0.0,0.0,3.62,2.83,0.0
20200107:1710,0.0,0.0,3.28,2.97,0.0
20200107:1810,0.0,0.0,2.89,3.03,0.0
20200107:1910,0.0,0.0,2.97,3.38,0.0
20200107:2010,0.0,0.0,2.83,3.45,0.0
20200107:2110,0.0,0.0,2.58,3.45,0.0
20200107:2210,0.0,0.0,2.81,3.66,0.0
20200107:2310,0.0,0.0,3.02,4.07,0.0
20200108:0010,0.0,0.0,3.24,4.21,0.0
20200108:0110,0.0,0.0,3.15,4.28,0.0
20200108:0210,0.0,0.0,2.91,4.21,0.0
20200108:0310,0.0,0.0,2.87,4.0,0.0
20200108:0410,0.0,0.0,2.83,4.0,0.0
20200108:0510,0.0,0.0,2.79,3.93,0.0
20200108:0610,0.0,0.0,2.92,3.86,0.0
20200108:0710,0.0,0.0,2.99,4.34,0.0
20200108:0810,19.4,5.1,3.16,4.34,0.0
20200108:0910,42.34,10.76,3.76,4.28,0.0
20200108:1010,45.87,14.57,4.33,4.21,0.0
20200108:1110,52.04,16.21,4.88,4.28,0.0
20200108:1210,56.45,15.51,5.42,4.14,0.0
20200108:1310,23.81,12.55,5.84,4.21,0.0
20200108:1410,8.82,7.6,6.12,4.07,0.0
20200108:1510,0.0,0.0,6.29,3.93,0.0
20200108:1610,0.0,0.0,6.43,3.66,0.0
20200108:1710,0.0,0.0,6.55,3.45,0.0
20200108:1810,0.0,0.0,6.68,3.24,0.0
20200108:1910,0.0,0.0,5.46,2.97,0.0
20200108:2010,0.0,0.0,5.54,2.76,0.0
20200108:2110,0.0,0.0,5.66,2.55,0.0
20200108:2210,0.0,0.0,5.78,2.28,0.0
20200108:2310,0.0,0.0,5.88,2.14,0.0
20200109:0010,0.0,0.0,5.96,1.93,0.0
20200109:0110,0.0,0.0,6.05,1.86,0.0
20200109:0210,0.0,0.0,6.12,1.86,0.0
20200109:0310,0.0,0.0,6.18,1.93,0.0
20200109:0410,0.0,0.0,6.22,2.0,0.0
20200109:0510,0.0,0.0,6.29,2.28,0.0
20200109:0610,0.0,0.0,6.43,2.69,0.0
20200109:0710,0.0,0.0,6.17,3.03,0.0
20200109:0810,70.31,5.18,6.52,3.31,0.0
20200109:0910,154.89,10.85,7.04,3.52,0.0
20200109:1010,39.69,14.68,7.62,3.86,0.0
20200109:1110,72.33,16.34,8.19,4.21,0.0
20200109:1210,44.1,15.66,8.67,4.62,0.0
20200109:1310,61.61,12.71,9.11,4.76,0.0
20200109:1410,38.48,7.76,9.43,4.69,0.0
20200109:1510,0.0,0.0,9.7,4.62,0.0
20200109:1610,0.0,0.0,9.81,4.62,0.0
20200109:1710,0.0,0.0,9.83,4.55,0.0
20200109:1810,0.0,0.0,9.72,4.41,0.0
20200109:1910,0.0,0.0,9.52,4.41,0.0
20200109:2010,0.0,0.0,9.27,4.34,0.0
20200109:2110,0.0,0.0,9.06,4.28,0.0
20200109:2210,0.0,0.0,8.91,4.21,0.0
20200109:2310,0.0,0.0,8.76,4.21,0.0
20200110:0010,0.0,0.0,8.59,4.21,0.0
20200110:0110,0.0,0.0,8.43,4.41,0.0
20200110:0210,0.0,0.0,7.98,4.55,0.0
20200110:0310,0.0,0.0,7.73,4.55,0.0
20200110:0410,0.0,0.0,7.33,4.55,0.0
20200110:0510,0.0,0.0,7.23,4.69,0.0
20200110:0610,0.0,0.0,7.14,4.62,0.0
20200110:0710,0.0,0.0,7.6,4.9,0.0
20200110:0810,55.8,5.26,7.78,4.9,0.0
20200110:0910,461.38,10.96,8.03,4.76,0.0
20200110:1010,41.46,14.81,8.39,4.34,0.0
20200110:1110,23.81,16.48,8.61,4.14,0.0
20200110:1210,84.97,15.82,8.9,5.24,0.0
20200110:1310,14.99,12.88,8.79,5.1,0.0
20200110:1410,7.94,7.94,8.57,5.1,0.0
20200110:1510,0.0,0.0,8.01,4.76,0.0
20200110:1610,0.0,0.0,7.33,4.62,0.0
20200110:1710,0.0,0.0,6.74,4.62,0.0
20200110:1810,0.0,0.0,5.87,4.69,0.0
20200110:1910,0.0,0.0,5.43,4.83,0.0
20200110:2010,0.0,0.0,4.72,4.55,0.0
20200110:2110,0.0,0.0,4.06,4.41,0.0
20200110:2210,0.0,0.0,3.76,4.28,0.0
20200110:2310,0.0,0.0,3.61,4.07,0.0
20200111:0010,0.0,0.0,3.51,3.93,0.0
20200111:0110,0.0,0.0,3.15,3.86,0.0
20200111:0210,0.0,0.0,3.21,3.66,0.0
20200111:0310,0.0,0.0,3.15,3.24,0.0
20200111:0410,0.0,0.0,2.77,3.17,0.0
20200111:0510,0.0,0.0,2.67,3.1,0.0
20200111:0610,0.0,0.0,2.18,2.55,0.0
20200111:0710,0.0,0.0,1.87,1.93,0.0
20200111:0810,168.09,5.35,1.39,2.0,0.0
20200111:0910,105.23,11.07,1.94,1.86,0.0
20200111:1010,102.88,14.94,3.06,2.55,0.0
20200111:1110,699.04,16.63,3.84,2.97,0.0
20200111:1210,505.97,15.98,4.33,3.17,0.0
20200111:1310,585.92,13.05,4.5,3.59,0.0
20200111:1410,499.83,8.11,4.28,3.38,0.0
20200111:1510,0.0,0.0,3.57,3.1,0.0
20200111:1610,0.0,0.0,2.57,3.1,0.0
20200111:1710,0.0,0.0,2.11,3.31,0.0
20200111:1810,0.0,0.0,1.76,3.59,0.0
20200111:1910,0.0,0.0,1.5,3.72,0.0
20200111:2010,0.0,0.0,1.3,3.79,0.0
20200111:2110,0.0,0.0,1.18,3.72,0.0
20200111:2210,0.0,0.0,1.18,3.72,0.0
20200111:2310,0.0,0.0,1.02,3.66,0.0
20200112:0010,0.0,0.0,0.96,3.72,0.0
20200112:0110,0.0,0.0,0.71,3.72,0.0
20200112:0210,0.0,0.0,0.52,3.66,0.0
20200112:0310,0.0,0.0,0.35,3.52,0.0
20200112:0410,0.0,0.0,0.22,3.45,0.0
20200112:0510,0.0,0.0,0.14,3.45,0.0
20200112:0610,0.0,0.0,0.07,3.59,0.0
20200112:0710,0.0,0.0,-0.23,3.79,0.0
20200112:0810,71.26,5.45,0.0,3.93,0.0
20200112:0910,44.98,11.19,0.78,3.93,0.0
20200112:1010,81.4,15.08,1.88,4.21,0.0
20200112:1110,257.24,16.79,2.86,4.76,0.0
20200112:1210,209.28,16.15,3.59,4.9,0.0
20200112:1310,35.28,13.23,3.99,4.76,0.0
20200112:1410,128.88,8.29,4.0,4.83,0.0
20200112:1510,0.0,0.0,3.74,4.83,0.0
20200112:1610,0.0,0.0,3.81,4.97,0.0
20200112:1710,0.0,0.0,4.39,5.1,0.0
20200112:1810,0.0,0.0,4.69,5.24,0.0
20200112:1910,0.0,0.0,3.45,5.38,0.0
20200112:2010,0.0,0.0,3.7,5.31,0.0
20200112:2110,0.0,0.0,3.99,5.17,0.0
20200112:2210,0.0,0.0,4.22,5.1,0.0
20200112:2310,0.0,0.0,4.47,4.97,0.0
20200113:0010,0.0,0.0,4.66,4.69,0.0
20200113:0110,0.0,0.0,4.95,4.41,0.0
20200113:0210,0.0,0.0,4.98,4.0,0.0
20200113:0310,0.0,0.0,4.98,3.66,0.0
20200113:0410,0.0,0.0,5.03,3.38,0.0
20200113:0510,0.0,0.0,4.97,3.24,0.0
20200113:0610,0.0,0.0,4.91,3.24,0.0
20200113:0710,0.0,0.0,4.69,3.38,0.0
20200113:0810,170.91,5.56,4.65,3.45,0.0
20200113:0910,177.61,11.31,4.71,3.45,0.0
20200113:1010,109.13,15.22,5.06,3.72,0.0
20200113:1110,38.81,16.95,5.32,3.93,0.0
20200113:1210,123.6,16.33,5.45,3.93,0.0
20200113:1310,422.27,13.41,5.62,4.0,0.0
20200113:1410,403.43,8.48,5.54,3.72,0.0
20200113:1510,0.0,0.0,5.23,3.03,0.0
20200113:1610,0.0,0.0,4.91,2.83,0.0
20200113:1710,0.0,0.0,4.77,2.9,0.0
20200113:1810,0.0,0.0,4.91,3.31,0.0
20200113:1910,0.0,0.0,4.49,3.1,0.0
20200113:2010,0.0,0.0,4.51,3.59,0.0
20200113:2110,0.0,0.0,4.61,3.86,0.0
20200113:2210,0.0,0.0,4.41,3.66,0.0
20200113:2310,0.0,0.0,4.44,3.45,0.0
20200114:0010,0.0,0.0,4.51,3.52,0.0
20200114:0110,0.0,0.0,4.2,3.52,0.0
20200114:0210,0.0,0.0,4.09,3.72,0.0
20200114:0310,0.0,0.0,4.32,4.21,0.0
20200114:0410,0.0,0.0,4.81,4.62,0.0
20200114:0510,0.0,0.0,5.19,4.83,0.0
20200114:0610,0.0,0.0,5.43,5.03,0.0
20200114:0710,0.0,0.0,6.01,5.52,0.0
20200114:0810,291.48,5.67,6.29,5.72,0.0
20200114:0910,411.07,11.45,6.78,5.79,0.0
20200114:1010,163.45,15.38,7.63,5.79,0.0
20200114:1110,144.63,17.12,8.38,5.1,0.0
20200114:1210,203.23,16.51,8.76,5.59,0.0
20200114:1310,144.15,13.6,9.09,5.59,0.0
20200114:1410,53.2,8.67,9.09,5.24,0.0
20200114:1510,0.0,0.0,8.97,5.1,0.0
20200114:1610,0.0,0.0,8.65,5.17,0.0
20200114:1710,0.0,0.0,8.44,5.38,0.0
20200114:1810,0.0,0.0,8.52,5.52,0.0
20200114:1910,0.0,0.0,8.54,5.72,0.0
20200114:2010,0.0,0.0,8.32,5.79,0.0
20200114:2110,0.0,0.0,8.09,5.79,0.0
20200114:2210,0.0,0.0,8.06,5.79,0.0
20200114:2310,0.0,0.0,8.03,5.66,0.0
20200115:0010,0.0,0.0,8.18,5.59,0.0
20200115:0110,0.0,0.0,8.29,5.52,0.0
20200115:0210,0.0,0.0,8.24,5.45,0.0
20200115:0310,0.0,0.0,8.09,5.1,0.0
20200115:0410,0.0,0.0,7.95,4.69,0.0
20200115:0510,0.0,0.0,8.05,4.69,0.0
20200115:0610,0.0,0.0,7.89,4.62,0.0
20200115:0710,0.0,0.0,7.72,4.9,0.0
20200115:0810,140.05,5.79,7.53,4.62,0.0
20200115:0910,543.92,11.59,7.85,4.55,0.0
20200115:1010,710.08,15.53,8.56,4.07,0.0
20200115:1110,769.77,17.3,9.21,4.41,0.0
20200115:1210,739.15,16.7,9.8,4.41,0.0
20200115:1310,621.77,13.8,10.09,4.69,0.0
20200115:1410,186.21,8.87,10.0,5.1,0.0
20200115:1510,0.0,0.0,9.35,4.83,0.0
20200115:1610,0.0,0.0,8.61,4.83,0.0
20200115:1710,0.0,0.0,8.28,4.97,0.0
20200115:1810,0.0,0.0,8.21,5.1,0.0
20200115:1910,0.0,0.0,8.09,4.9,0.0
20200115:2010,0.0,0.0,8.14,4.83,0.0
20200115:2110,0.0,0.0,8.25,4.9,0.0
20200115:2210,0.0,0.0,8.76,4.83,0.0
20200115:2310,0.0,0.0,9.22,4.55,0.0
20200116:0010,0.0,0.0,9.12,4.07,0.0
20200116:0110,0.0,0.0,8.91,3.59,0.0
20200116:0210,0.0,0.0,8.47,3.03,0.0
20200116:0310,0.0,0.0,7.55,2.48,0.0
20200116:0410,0.0,0.0,6.3,2.07,0.0
20200116:0510,0.0,0.0,5.38,1.86,0.0
20200116:0610,0.0,0.0,4.24,1.93,0.0
20200116:0710,0.0,0.0,4.28,1.24,0.0
20200116:0810,266.3,5.92,4.23,1.1,0.0
20200116:0910,525.3,11.73,4.83,0.9,0.0
20200116:1010,562.43,15.7,7.39,1.03,0.0
20200116:1110,498.44,17.48,9.07,1.72,0.0
20200116:1210,677.89,16.89,9.89,2.62,0.0
20200116:1310,657.79,14.0,10.16,2.69,0.0
20200116:1410,336.39,9.08,10.1,2.28,0.0
20200116:1510,5.29,2.51,9.31,1.93,0.0
20200116:1610,0.0,0.0,7.89,2.14,0.0
20200116:1710,0.0,0.0,6.89,2.21,0.0
20200116:1810,0.0,0.0,5.95,2.28,0.0
20200116:1910,0.0,0.0,4.64,2.0,0.0
20200116:2010,0.0,0.0,3.36,1.86,0.0
20200116:2110,0.0,0.0,2.45,1.86,0.0
20200116:2210,0.0,0.0,1.73,2.0,0.0
20200116:2310,0.0,0.0,1.23,2.07,0.0
20200117:0010,0.0,0.0,1.24,1.86,0.0
20200117:0110,0.0,0.0,1.34,1.72,0.0
20200117:0210,0.0,0.0,1.52,1.52,0.0
20200117:0310,0.0,0.0,1.85,1.31,0.0
20200117:0410,0.0,0.0,1.36,1.38,0.0
20200117:0510,0.0,0.0,-0.08,1.79,0.0
20200117:0610,0.0,0.0,-0.65,1.93,0.0
20200117:0710,0.0,0.0,-1.13,1.93,0.0
20200117:0810,272.31,6.05,-0.83,1.72,0.0
20200117:0910,473.31,11.89,1.37,1.24,0.0
20200117:1010,661.49,15.87,4.31,1.31,0.0
20200117:1110,758.14,17.67,5.57,2.0,0.0
20200117:1210,811.45,17.1,6.47,2.48,0.0
20200117:1310,594.38,14.21,7.11,2.48,0.0
20200117:1410,508.71,9.29,7.15,2.69,0.0
20200117:1510,7.94,2.71,6.47,3.03,0.0
20200117:1610,0.0,0.0,5.5,3.1,0.0
20200117:1710,0.0,0.0,5.27,3.17,0.0
20200117:1810,0.0,0.0,5.27,3.24,0.0
20200117:1910,0.0,0.0,5.46,3.66,0.0
20200117:2010,0.0,0.0,5.91,3.86,0.0
20200117:2110,0.0,0.0,6.42,3.93,0.0
20200117:2210,0.0,0.0,6.62,3.86,0.0
20200117:2310,0.0,0.0,6.34,3.93,0.0
20200118:0010,0.0,0.0,5.75,4.07,0.0
20200118:0110,0.0,0.0,5.28,4.21,0.0
20200118:0210,0.0,0.0,4.55,4.07,0.0
20200118:0310,0.0,0.0,4.11,3.79,0.0
20200118:0410,0.0,0.0,3.72,3.52,0.0
20200118:0510,0.0,0.0,3.44,3.24,0.0
20200118:0610,0.0,0.0,3.18,3.17,0.0
20200118:0710,0.0,0.0,2.66,2.97,0.0
20200118:0810,42.83,6.19,2.73,3.1,0.0
20200118:0910,138.79,12.05,3.45,3.31,0.0
20200118:1010,615.69,16.05,4.16,4.28,0.0
20200118:1110,550.71,17.87,4.59,4.62,0.0
20200118:1210,486.15,17.3,4.77,4.69,0.0
20200118:1310,163.05,14.42,4.71,4.34,0.0
20200118:1410,211.0,9.5,4.55,3.52,0.0
20200118:1510,3.53,2.92,3.8,3.03,0.0
20200118:1610,0.0,0.0,2.69,2.69,0.0
20200118:1710,0.0,0.0,2.04,2.69,0.0
20200118:1810,0.0,0.0,1.54,2.76,0.0
20200118:1910,0.0,0.0,2.32,2.76,0.0
20200118:2010,0.0,0.0,2.25,2.69,0.0
20200118:2110,0.0,0.0,2.22,2.76,0.0
20200118:2210,0.0,0.0,2.07,2.76,0.0
20200118:2310,0.0,0.0,2.14,2.69,0.0
20200119:0010,0.0,0.0,2.13,2.62,0.0
20200119:0110,0.0,0.0,1.92,2.69,0.0
20200119:0210,0.0,0.0,1.75,2.55,0.0
20200119:0310,0.0,0.0,1.53,2.41,0.0
20200119:0410,0.0,0.0,1.48,2.21,0.0
20200119:0510,0.0,0.0,1.33,2.14,0.0
20200119:0610,0.0,0.0,1.4,2.34,0.0
20200119:0710,0.0,0.0,1.31,2.34,0.0
20200119:0810,311.33,6.34,1.52,2.76,0.0
20200119:0910,206.22,12.21,1.77,2.76,0.0
20200119:1010,485.91,16.24,2.63,3.31,0.0
20200119:1110,358.12,18.07,3.24,3.1,0.0
20200119:1210,224.9,17.52,3.68,2.97,0.0
20200119:1310,556.43,14.64,3.87,2.97,0.0
20200119:1410,220.37,9.72,3.97,2.48,0.0
20200119:1510,5.29,3.14,3.52,2.21,0.0
20200119:1610,0.0,0.0,2.81,2.14,0.0
20200119:1710,0.0,0.0,2.29,2.07,0.0
20200119:1810,0.0,0.0,2.06,2.0,0.0
20200119:1910,0.0,0.0,2.52,2.07,0.0
20200119:2010,0.0,0.0,2.53,1.86,0.0
20200119:2110,0.0,0.0,2.15,1.79,0.0
20200119:2210,0.0,0.0,1.61,1.66,0.0
20200119:2310,0.0,0.0,1.31,1.72,0.0
20200120:0010,0.0,0.0,0.38,1.86,0.0
20200120:0110,0.0,0.0,-0.17,1.79,0.0
20200120:0210,0.0,0.0,-0.47,1.66,0.0
20200120:0310,0.0,0.0,-1.65,1.93,0.0
20200120:0410,0.0,0.0,-1.95,1.79,0.0
20200120:0510,0.0,0.0,-1.83,1.72,0.0
20200120:0610,0.0,0.0,-2.11,1.59,0.0
20200120:0710,0.0,0.0,-2.08,1.59,0.0
20200120:0810,298.73,6.5,-1.9,1.45,0.0
20200120:0910,534.9,12.39,0.11,1.24,0.0
20200120:1010,729.5,16.43,1.73,1.38,0.0
20200120:1110,789.0,18.28,2.32,1.31,0.0
20200120:1210,751.01,17.74,2.69,1.17,0.0
20200120:1310,689.37,14.87,2.76,1.38,0.0
20200120:1410,519.01,9.94,2.86,1.52,0.0
20200120:1510,21.99,3.36,2.64,1.24,0.0
20200120:1610,0.0,0.0,2.16,1.31,0.0
20200120:1710,0.0,0.0,1.72,1.38,0.0
20200120:1810,0.0,0.0,0.94,1.38,0.0
20200120:1910,0.0,0.0,0.35,1.45,0.0
20200120:2010,0.0,0.0,-0.6,1.45,0.0
20200120:2110,0.0,0.0,-1.26,1.31,0.0
20200120:2210,0.0,0.0,-1.59,1.24,0.0
20200120:2310,0.0,0.0,-2.21,1.38,0.0
20200121:0010,0.0,0.0,-2.76,1.45,0.0
20200121:0110,0.0,0.0,-3.29,1.52,0.0
20200121:0210,0.0,0.0,-3.65,1.66,0.0
20200121:0310,0.0,0.0,-3.85,1.72,0.0
20200121:0410,0.0,0.0,-4.04,1.79,0.0
20200121:0510,0.0,0.0,-4.06,1.93,0.0
20200121:0610,0.0,0.0,-4.15,2.0,0.0
20200121:0710,0.0,0.0,-4.25,2.0,0.0
20200121:0810,345.1,6.66,-4.09,1.72,0.0
20200121:0910,572.39,12.57,-1.39,1.38,0.0
20200121:1010,766.16,16.63,1.02,1.59,0.0
20200121:1110,844.75,18.5,2.53,2.07,0.0
20200121:1210,801.18,17.97,3.34,2.28,0.0
20200121:1310,757.42,15.1,3.63,2.28,0.0
20200121:1410,560.21,10.17,3.24,1.86,0.0
20200121:1510,22.35,3.58,1.89,2.14,0.0
20200121:1610,0.0,0.0,0.15,2.21,0.0
20200121:1710,0.0,0.0,-1.05,2.14,0.0
20200121:1810,0.0,0.0,-1.9,2.21,0.0
20200121:1910,0.0,0.0,-2.39,2.07,0.0
20200121:2010,0.0,0.0,-2.82,2.14,0.0
20200121:2110,0.0,0.0,-3.17,2.07,0.0
20200121:2210,0.0,0.0,-3.48,2.0,0.0
20200121:2310,0.0,0.0,-3.66,2.07,0.0
20200122:0010,0.0,0.0,-3.71,2.21,0.0
20200122:0110,0.0,0.0,-3.62,2.28,0.0
20200122:0210,0.0,0.0,-3.41,2.41,0.0
