Latitude (decimal degrees):	51.496
Longitude (decimal degrees):	10.808
Elevation (m):	177
Radiation database:	PVGIS-SARAH2


Slope: 30 deg. 
Azimuth: 4 deg. 
time,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20200101:0010,0.0,0.0,0.0,0.0,0.52,1.86,0.0
20200101:0110,0.0,0.0,0.0,0.0,0.11,1.86,0.0
20200101:0210,0.0,0.0,0.0,0.0,-0.18,1.66,0.0
20200101:0310,0.0,0.0,0.0,0.0,-0.6,1.59,0.0
20200101:0410,0.0,0.0,0.0,0.0,-1.0,1.45,0.0
20200101:0510,0.0,0.0,0.0,0.0,-0.81,1.31,0.0
20200101:0610,0.0,0.0,0.0,0.0,-1.12,1.17,0.0
20200101:0710,0.0,0.0,0.0,0.0,-0.98,1.17,0.0
20200101:0810,34.95,33.8,0.51,4.75,-0.73,1.17,0.0
20200101:0910,81.94,95.03,1.43,10.28,-0.51,0.9,0.0
20200101:1010,82.55,125.73,1.93,13.96,-0.09,0.76,0.0
20200101:1110,103.83,143.81,2.24,15.47,0.5,0.83,0.0
20200101:1210,121.35,140.55,2.2,14.66,1.08,1.03,0.0
20200101:1310,118.61,114.08,1.74,11.62,1.5,1.17,0.0
20200101:1410,92.38,64.14,0.9,6.62,1.24,1.03,0.0
20200101:1510,0.0,0.0,0.0,0.0,0.36,1.1,0.0
20200101:1610,0.0,0.0,0.0,0.0,-1.34,1.17,0.0
20200101:1710,0.0,0.0,0.0,0.0,-2.46,1.38,0.0
20200101:1810,0.0,0.0,0.0,0.0,-3.3,1.45,0.0
20200101:1910,0.0,0.0,0.0,0.0,-3.15,1.45,0.0
20200101:2010,0.0,0.0,0.0,0.0,-3.35,1.52,0.0
20200101:2110,0.0,0.0,0.0,0.0,-3.61,1.66,0.0
20200101:2210,0.0,0.0,0.0,0.0,-3.67,1.86,0.0
20200101:2310,0.0,0.0,0.0,0.0,-3.45,1.86,0.0
20200102:0010,0.0,0.0,0.0,0.0,-3.09,1.79,0.0
20200102:0110,0.0,0.0,0.0,0.0,-2.8,1.59,0.0
20200102:0210,0.0,0.0,0.0,0.0,-2.22,1.31,0.0
20200102:0310,0.0,0.0,0.0,0.0,-1.87,1.17,0.0
20200102:0410,0.0,0.0,0.0,0.0,-1.74,1.03,0.0
20200102:0510,0.0,0.0,0.0,0.0,-2.14,1.1,0.0
20200102:0610,0.0,0.0,0.0,0.0,-2.84,1.24,0.0
20200102:0710,0.0,0.0,0.0,0.0,-3.83,1.59,0.0
20200102:0810,109.08,42.68,0.7,4.77,-3.82,1.72,0.0
20200102:0910,244.73,105.22,1.9,10.33,-1.71,1.72,0.0
20200102:1010,394.71,126.53,2.91,14.02,1.04,2.14,0.0
20200102:1110,519.78,115.7,3.46,15.55,1.91,3.03,0.0
20200102:1210,518.82,107.97,3.28,14.76,2.17,3.17,0.0
20200102:1310,403.04,103.61,2.45,11.74,2.2,3.38,0.0
20200102:1410,255.89,71.94,1.23,6.74,1.52,3.31,0.0
20200102:1510,0.0,0.0,0.0,0.0,0.37,3.24,0.0
20200102:1610,0.0,0.0,0.0,0.0,-0.04,3.1,0.0
20200102:1710,0.0,0.0,0.0,0.0,-0.03,3.03,0.0
20200102:1810,0.0,0.0,0.0,0.0,0.22,2.83,0.0
20200102:1910,0.0,0.0,0.0,0.0,0.29,3.38,0.0
20200102:2010,0.0,0.0,0.0,0.0,0.74,3.45,0.0
20200102:2110,0.0,0.0,0.0,0.0,1.01,3.38,0.0
20200102:2210,0.0,0.0,0.0,0.0,1.35,3.52,0.0
20200102:2310,0.0,0.0,0.0,0.0,1.69,3.66,0.0
20200103:0010,0.0,0.0,0.0,0.0,1.95,3.93,0.0
20200103:0110,0.0,0.0,0.0,0.0,2.37,4.07,0.0
20200103:0210,0.0,0.0,0.0,0.0,2.39,4.0,0.0
20200103:0310,0.0,0.0,0.0,0.0,2.56,4.21,0.0
20200103:0410,0.0,0.0,0.0,0.0,2.64,4.48,0.0
20200103:0510,0.0,0.0,0.0,0.0,2.77,4.34,0.0
20200103:0610,0.0,0.0,0.0,0.0,2.85,4.14,0.0
20200103:0710,0.0,0.0,0.0,0.0,3.46,4.69,0.0
20200103:0810,0.0,18.65,0.27,4.81,3.87,4.97,0.0
20200103:0910,0.0,43.83,0.63,10.38,4.34,5.24,0.0
20200103:1010,0.0,39.17,0.56,14.1,4.67,5.31,0.0
20200103:1110,0.0,79.27,1.14,15.64,4.89,5.31,0.0
20200103:1210,71.02,125.18,1.92,14.87,4.87,5.17,0.0
20200103:1310,15.39,77.72,1.14,11.86,4.88,5.03,0.0
20200103:1410,0.0,25.18,0.36,6.87,5.06,5.17,0.0
20200103:1510,0.0,0.0,0.0,0.0,5.27,5.1,0.0
20200103:1610,0.0,0.0,0.0,0.0,5.39,5.17,0.0
20200103:1710,0.0,0.0,0.0,0.0,5.72,5.52,0.0
20200103:1810,0.0,0.0,0.0,0.0,5.96,5.66,0.0
20200103:1910,0.0,0.0,0.0,0.0,5.89,5.86,0.0
20200103:2010,0.0,0.0,0.0,0.0,6.18,5.79,0.0
20200103:2110,0.0,0.0,0.0,0.0,6.47,5.52,0.0
20200103:2210,0.0,0.0,0.0,0.0,5.79,5.45,0.0
20200103:2310,0.0,0.0,0.0,0.0,4.75,4.62,0.0
20200104:0010,0.0,0.0,0.0,0.0,3.84,4.07,0.0
20200104:0110,0.0,0.0,0.0,0.0,3.49,3.93,0.0
20200104:0210,0.0,0.0,0.0,0.0,3.18,4.07,0.0
20200104:0310,0.0,0.0,0.0,0.0,2.84,4.14,0.0
20200104:0410,0.0,0.0,0.0,0.0,2.45,4.21,0.0
20200104:0510,0.0,0.0,0.0,0.0,2.13,4.55,0.0
20200104:0610,0.0,0.0,0.0,0.0,2.07,4.83,0.0
20200104:0710,0.0,0.0,0.0,0.0,2.32,5.03,0.0
20200104:0810,4.87,22.91,0.33,4.85,2.32,5.17,0.0
20200104:0910,9.32,61.4,0.9,10.44,2.45,5.31,0.0
20200104:1010,0.0,64.35,0.92,14.18,2.83,5.79,0.0
20200104:1110,0.0,76.47,1.1,15.74,3.32,6.55,0.0
20200104:1210,13.58,94.9,1.39,14.98,3.68,6.97,0.0
20200104:1310,0.0,20.52,0.29,11.98,3.95,6.69,0.0
20200104:1410,8.42,37.91,0.55,7.0,4.15,6.69,0.0
20200104:1510,0.0,0.0,0.0,0.0,4.0,6.62,0.0
20200104:1610,0.0,0.0,0.0,0.0,4.12,6.07,0.0
20200104:1710,0.0,0.0,0.0,0.0,4.06,5.31,0.0
20200104:1810,0.0,0.0,0.0,0.0,3.86,4.76,0.0
20200104:1910,0.0,0.0,0.0,0.0,3.58,4.62,0.0
20200104:2010,0.0,0.0,0.0,0.0,2.88,4.21,0.0
20200104:2110,0.0,0.0,0.0,0.0,2.32,3.93,0.0
20200104:2210,0.0,0.0,0.0,0.0,2.04,3.79,0.0
20200104:2310,0.0,0.0,0.0,0.0,1.53,3.59,0.0
20200105:0010,0.0,0.0,0.0,0.0,1.34,3.31,0.0
20200105:0110,0.0,0.0,0.0,0.0,1.0,3.03,0.0
20200105:0210,0.0,0.0,0.0,0.0,0.72,2.9,0.0
20200105:0310,0.0,0.0,0.0,0.0,0.11,2.97,0.0
20200105:0410,0.0,0.0,0.0,0.0,-0.42,2.83,0.0
20200105:0510,0.0,0.0,0.0,0.0,-0.78,2.55,0.0
20200105:0610,0.0,0.0,0.0,0.0,-1.2,2.14,0.0
20200105:0710,0.0,0.0,0.0,0.0,-1.41,1.86,0.0
20200105:0810,67.47,39.48,0.62,4.9,-2.31,1.66,0.0
20200105:0910,64.83,88.29,1.34,10.51,-0.77,1.03,0.0
20200105:1010,18.93,96.08,1.42,14.26,1.19,1.1,0.0
20200105:1110,34.01,118.2,1.77,15.84,2.15,1.66,0.0
20200105:1210,199.93,148.1,2.51,15.1,2.66,1.86,0.0
20200105:1310,15.16,78.57,1.15,12.11,2.59,1.79,0.0
20200105:1410,4.15,38.06,0.55,7.14,2.71,1.93,0.0
20200105:1510,0.0,0.0,0.0,0.0,2.63,1.79,0.0
20200105:1610,0.0,0.0,0.0,0.0,2.38,1.79,0.0
20200105:1710,0.0,0.0,0.0,0.0,2.65,1.79,0.0
20200105:1810,0.0,0.0,0.0,0.0,2.84,1.79,0.0
20200105:1910,0.0,0.0,0.0,0.0,3.06,2.14,0.0
20200105:2010,0.0,0.0,0.0,0.0,3.09,2.28,0.0
20200105:2110,0.0,0.0,0.0,0.0,3.14,2.41,0.0
20200105:2210,0.0,0.0,0.0,0.0,3.29,2.62,0.0
20200105:2310,0.0,0.0,0.0,0.0,3.28,2.83,0.0
20200106:0010,0.0,0.0,0.0,0.0,3.24,2.9,0.0
20200106:0110,0.0,0.0,0.0,0.0,2.97,2.83,0.0
20200106:0210,0.0,0.0,0.0,0.0,2.96,2.69,0.0
20200106:0310,0.0,0.0,0.0,0.0,2.67,2.55,0.0
20200106:0410,0.0,0.0,0.0,0.0,2.52,2.41,0.0
20200106:0510,0.0,0.0,0.0,0.0,2.42,2.28,0.0
20200106:0610,0.0,0.0,0.0,0.0,2.3,2.0,0.0
20200106:0710,0.0,0.0,0.0,0.0,2.49,2.41,0.0
20200106:0810,0.0,20.52,0.29,4.96,2.3,2.34,0.0
20200106:0910,0.0,44.76,0.64,10.58,2.76,2.41,0.0
20200106:1010,0.0,57.82,0.83,14.36,3.21,3.24,0.0
20200106:1110,2.6,88.1,1.27,15.96,3.41,2.83,0.0
20200106:1210,0.0,64.35,0.92,15.23,3.67,2.69,0.0
20200106:1310,0.0,52.22,0.75,12.25,3.77,2.48,0.0
20200106:1410,0.0,28.91,0.42,7.29,3.58,2.07,0.0
20200106:1510,0.0,0.0,0.0,0.0,3.05,1.86,0.0
20200106:1610,0.0,0.0,0.0,0.0,2.12,1.86,0.0
20200106:1710,0.0,0.0,0.0,0.0,1.86,1.93,0.0
20200106:1810,0.0,0.0,0.0,0.0,1.46,2.0,0.0
20200106:1910,0.0,0.0,0.0,0.0,0.21,2.07,0.0
20200106:2010,0.0,0.0,0.0,0.0,-0.16,2.21,0.0
20200106:2110,0.0,0.0,0.0,0.0,-0.57,2.41,0.0
20200106:2210,0.0,0.0,0.0,0.0,-0.65,2.48,0.0
20200106:2310,0.0,0.0,0.0,0.0,-0.47,2.41,0.0
20200107:0010,0.0,0.0,0.0,0.0,-0.6,2.69,0.0
20200107:0110,0.0,0.0,0.0,0.0,-0.13,3.31,0.0
20200107:0210,0.0,0.0,0.0,0.0,-0.07,3.03,0.0
20200107:0310,0.0,0.0,0.0,0.0,-0.01,3.1,0.0
20200107:0410,0.0,0.0,0.0,0.0,0.27,3.24,0.0
20200107:0510,0.0,0.0,0.0,0.0,0.61,3.03,0.0
20200107:0610,0.0,0.0,0.0,0.0,1.17,2.97,0.0
20200107:0710,0.0,0.0,0.0,0.0,1.21,3.1,0.0
20200107:0810,42.32,36.97,0.56,5.03,1.75,3.03,0.0
20200107:0910,3.05,53.64,0.78,10.67,2.27,2.97,0.0
20200107:1010,0.0,70.88,1.02,14.46,2.87,2.76,0.0
20200107:1110,0.0,64.35,0.92,16.08,3.4,2.76,0.0
20200107:1210,0.0,64.35,0.92,15.37,3.94,3.03,0.0
20200107:1310,17.89,82.91,1.22,12.4,4.32,3.03,0.0
20200107:1410,16.06,47.12,0.68,7.44,4.49,2.76,0.0
20200107:1510,0.0,0.0,0.0,0.0,4.05,2.69,0.0
20200107:1610,0.0,0.0,0.0,0.0,3.62,2.83,0.0
20200107:1710,0.0,0.0,0.0,0.0,3.28,2.97,0.0
20200107:1810,0.0,0.0,0.0,0.0,2.89,3.03,0.0
20200107:1910,0.0,0.0,0.0,0.0,2.97,3.38,0.0
20200107:2010,0.0,0.0,0.0,0.0,2.83,3.45,0.0
20200107:2110,0.0,0.0,0.0,0.0,2.58,3.45,0.0
20200107:2210,0.0,0.0,0.0,0.0,2.81,3.66,0.0
20200107:2310,0.0,0.0,0.0,0.0,3.02,4.07,0.0
20200108:0010,0.0,0.0,0.0,0.0,3.24,4.21,0.0
20200108:0110,0.0,0.0,0.0,0.0,3.15,4.28,0.0
20200108:0210,0.0,0.0,0.0,0.0,2.91,4.21,0.0
20200108:0310,0.0,0.0,0.0,0.0,2.87,4.0,0.0
20200108:0410,0.0,0.0,0.0,0.0,2.83,4.0,0.0
20200108:0510,0.0,0.0,0.0,0.0,2.79,3.93,0.0
20200108:0610,0.0,0.0,0.0,0.0,2.92,3.86,0.0
20200108:0710,0.0,0.0,0.0,0.0,2.99,4.34,0.0
20200108:0810,0.0,20.52,0.29,5.1,3.16,4.34,0.0
20200108:0910,0.0,44.76,0.64,10.76,3.76,4.28,0.0
20200108:1010,0.0,48.49,0.7,14.57,4.33,4.21,0.0
20200108:1110,0.0,55.02,0.79,16.21,4.88,4.28,0.0
20200108:1210,0.0,59.69,0.86,15.51,5.42,4.14,0.0
20200108:1310,0.0,25.18,0.36,12.55,5.84,4.21,0.0
20200108:1410,0.0,9.33,0.13,7.6,6.12,4.07,0.0
20200108:1510,0.0,0.0,0.0,0.0,6.29,3.93,0.0
20200108:1610,0.0,0.0,0.0,0.0,6.43,3.66,0.0
20200108:1710,0.0,0.0,0.0,0.0,6.55,3.45,0.0
20200108:1810,0.0,0.0,0.0,0.0,6.68,3.24,0.0
20200108:1910,0.0,0.0,0.0,0.0,5.46,2.97,0.0
20200108:2010,0.0,0.0,0.0,0.0,5.54,2.76,0.0
20200108:2110,0.0,0.0,0.0,0.0,5.66,2.55,0.0
20200108:2210,0.0,0.0,0.0,0.0,5.78,2.28,0.0
20200108:2310,0.0,0.0,0.0,0.0,5.88,2.14,0.0
20200109:0010,0.0,0.0,0.0,0.0,5.96,1.93,0.0
20200109:0110,0.0,0.0,0.0,0.0,6.05,1.86,0.0
20200109:0210,0.0,0.0,0.0,0.0,6.12,1.86,0.0
20200109:0310,0.0,0.0,0.0,0.0,6.18,1.93,0.0
20200109:0410,0.0,0.0,0.0,0.0,6.22,2.0,0.0
20200109:0510,0.0,0.0,0.0,0.0,6.29,2.28,0.0
20200109:0610,0.0,0.0,0.0,0.0,6.43,2.69,0.0
20200109:0710,0.0,0.0,0.0,0.0,6.17,3.03,0.0
20200109:0810,27.42,33.7,0.51,5.18,6.52,3.31,0.0
20200109:0910,54.01,86.43,1.31,10.85,7.04,3.52,0.0
20200109:1010,0.0,41.97,0.6,14.68,7.62,3.86,0.0
20200109:1110,0.0,76.47,1.1,16.34,8.19,4.21,0.0
20200109:1210,0.0,46.63,0.67,15.66,8.67,4.62,0.0
20200109:1310,2.93,61.06,0.88,12.71,9.11,4.76,0.0
20200109:1410,3.88,35.1,0.51,7.76,9.43,4.69,0.0
20200109:1510,0.0,0.0,0.0,0.0,9.7,4.62,0.0
20200109:1610,0.0,0.0,0.0,0.0,9.81,4.62,0.0
20200109:1710,0.0,0.0,0.0,0.0,9.83,4.55,0.0
20200109:1810,0.0,0.0,0.0,0.0,9.72,4.41,0.0
20200109:1910,0.0,0.0,0.0,0.0,9.52,4.41,0.0
20200109:2010,0.0,0.0,0.0,0.0,9.27,4.34,0.0
20200109:2110,0.0,0.0,0.0,0.0,9.06,4.28,0.0
20200109:2210,0.0,0.0,0.0,0.0,8.91,4.21,0.0
20200109:2310,0.0,0.0,0.0,0.0,8.76,4.21,0.0
20200110:0010,0.0,0.0,0.0,0.0,8.59,4.21,0.0
20200110:0110,0.0,0.0,0.0,0.0,8.43,4.41,0.0
20200110:0210,0.0,0.0,0.0,0.0,7.98,4.55,0.0
20200110:0310,0.0,0.0,0.0,0.0,7.73,4.55,0.0
20200110:0410,0.0,0.0,0.0,0.0,7.33,4.55,0.0
20200110:0510,0.0,0.0,0.0,0.0,7.23,4.69,0.0
20200110:0610,0.0,0.0,0.0,0.0,7.14,4.62,0.0
20200110:0710,0.0,0.0,0.0,0.0,7.6,4.9,0.0
20200110:0810,17.99,32.37,0.48,5.26,7.78,4.9,0.0
20200110:0910,273.81,103.41,2.06,10.96,8.03,4.76,0.0
20200110:1010,0.0,43.83,0.63,14.81,8.39,4.34,0.0
20200110:1110,0.0,25.18,0.36,16.48,8.61,4.14,0.0
20200110:1210,2.62,86.23,1.25,15.82,8.9,5.24,0.0
20200110:1310,0.0,15.85,0.23,12.88,8.79,5.1,0.0
20200110:1410,0.0,8.39,0.12,7.94,8.57,5.1,0.0
20200110:1510,0.0,0.0,0.0,0.0,8.01,4.76,0.0
20200110:1610,0.0,0.0,0.0,0.0,7.33,4.62,0.0
20200110:1710,0.0,0.0,0.0,0.0,6.74,4.62,0.0
20200110:1810,0.0,0.0,0.0,0.0,5.87,4.69,0.0
20200110:1910,0.0,0.0,0.0,0.0,5.43,4.83,0.0
20200110:2010,0.0,0.0,0.0,0.0,4.72,4.55,0.0
20200110:2110,0.0,0.0,0.0,0.0,4.06,4.41,0.0
20200110:2210,0.0,0.0,0.0,0.0,3.76,4.28,0.0
20200110:2310,0.0,0.0,0.0,0.0,3.61,4.07,0.0
20200111:0010,0.0,0.0,0.0,0.0,3.51,3.93,0.0
20200111:0110,0.0,0.0,0.0,0.0,3.15,3.86,0.0
20200111:0210,0.0,0.0,0.0,0.0,3.21,3.66,0.0
20200111:0310,0.0,0.0,0.0,0.0,3.15,3.24,0.0
20200111:0410,0.0,0.0,0.0,0.0,2.77,3.17,0.0
20200111:0510,0.0,0.0,0.0,0.0,2.67,3.1,0.0
20200111:0610,0.0,0.0,0.0,0.0,2.18,2.55,0.0
20200111:0710,0.0,0.0,0.0,0.0,1.87,1.93,0.0
20200111:0810,88.49,46.14,0.74,5.35,1.39,2.0,0.0
20200111:0910,23.61,77.65,1.15,11.07,1.94,1.86,0.0
20200111:1010,10.43,94.28,1.38,14.94,3.06,2.55,0.0
20200111:1110,437.1,144.0,3.48,16.63,3.84,2.97,0.0
20200111:1210,267.61,161.28,2.92,15.98,4.33,3.17,0.0
20200111:1310,356.6,122.57,2.61,13.05,4.5,3.59,0.0
20200111:1410,322.96,70.12,1.58,8.11,4.28,3.38,0.0
20200111:1510,0.0,0.0,0.0,0.0,3.57,3.1,0.0
20200111:1610,0.0,0.0,0.0,0.0,2.57,3.1,0.0
20200111:1710,0.0,0.0,0.0,0.0,2.11,3.31,0.0
20200111:1810,0.0,0.0,0.0,0.0,1.76,3.59,0.0
20200111:1910,0.0,0.0,0.0,0.0,1.5,3.72,0.0
20200111:2010,0.0,0.0,0.0,0.0,1.3,3.79,0.0
20200111:2110,0.0,0.0,0.0,0.0,1.18,3.72,0.0
20200111:2210,0.0,0.0,0.0,0.0,1.18,3.72,0.0
20200111:2310,0.0,0.0,0.0,0.0,1.02,3.66,0.0
20200112:0010,0.0,0.0,0.0,0.0,0.96,3.72,0.0
20200112:0110,0.0,0.0,0.0,0.0,0.71,3.72,0.0
20200112:0210,0.0,0.0,0.0,0.0,0.52,3.66,0.0
20200112:0310,0.0,0.0,0.0,0.0,0.35,3.52,0.0
20200112:0410,0.0,0.0,0.0,0.0,0.22,3.45,0.0
20200112:0510,0.0,0.0,0.0,0.0,0.14,3.45,0.0
20200112:0610,0.0,0.0,0.0,0.0,0.07,3.59,0.0
20200112:0710,0.0,0.0,0.0,0.0,-0.23,3.79,0.0
20200112:0810,26.09,36.61,0.55,5.45,0.0,3.93,0.0
20200112:0910,0.0,47.56,0.68,11.19,0.78,3.93,0.0
20200112:1010,2.59,82.49,1.19,15.08,1.88,4.21,0.0
20200112:1110,87.85,148.74,2.32,16.79,2.86,4.76,0.0
20200112:1210,61.9,134.2,2.05,16.15,3.59,4.9,0.0
20200112:1310,0.0,37.3,0.54,13.23,3.99,4.76,0.0
20200112:1410,47.99,65.85,0.96,8.29,4.0,4.83,0.0
20200112:1510,0.0,0.0,0.0,0.0,3.74,4.83,0.0
20200112:1610,0.0,0.0,0.0,0.0,3.81,4.97,0.0
20200112:1710,0.0,0.0,0.0,0.0,4.39,5.1,0.0
20200112:1810,0.0,0.0,0.0,0.0,4.69,5.24,0.0
20200112:1910,0.0,0.0,0.0,0.0,3.45,5.38,0.0
20200112:2010,0.0,0.0,0.0,0.0,3.7,5.31,0.0
20200112:2110,0.0,0.0,0.0,0.0,3.99,5.17,0.0
20200112:2210,0.0,0.0,0.0,0.0,4.22,5.1,0.0
20200112:2310,0.0,0.0,0.0,0.0,4.47,4.97,0.0
20200113:0010,0.0,0.0,0.0,0.0,4.66,4.69,0.0
20200113:0110,0.0,0.0,0.0,0.0,4.95,4.41,0.0
20200113:0210,0.0,0.0,0.0,0.0,4.98,4.0,0.0
20200113:0310,0.0,0.0,0.0,0.0,4.98,3.66,0.0
20200113:0410,0.0,0.0,0.0,0.0,5.03,3.38,0.0
20200113:0510,0.0,0.0,0.0,0.0,4.97,3.24,0.0
20200113:0610,0.0,0.0,0.0,0.0,4.91,3.24,0.0
20200113:0710,0.0,0.0,0.0,0.0,4.69,3.38,0.0
20200113:0810,89.69,47.51,0.76,5.56,4.65,3.45,0.0
20200113:0910,63.75,96.61,1.47,11.31,4.71,3.45,0.0
20200113:1010,12.86,97.54,1.43,15.22,5.06,3.72,0.0
20200113:1110,0.0,41.03,0.59,16.95,5.32,3.93,0.0
20200113:1210,15.36,109.32,1.61,16.33,5.45,3.93,0.0
20200113:1310,220.0,135.19,2.33,13.41,5.62,4.0,0.0
20200113:1410,235.85,86.72,1.51,8.48,5.54,3.72,0.0
20200113:1510,0.0,0.0,0.0,0.0,5.23,3.03,0.0
20200113:1610,0.0,0.0,0.0,0.0,4.91,2.83,0.0
20200113:1710,0.0,0.0,0.0,0.0,4.77,2.9,0.0
20200113:1810,0.0,0.0,0.0,0.0,4.91,3.31,0.0
20200113:1910,0.0,0.0,0.0,0.0,4.49,3.1,0.0
20200113:2010,0.0,0.0,0.0,0.0,4.51,3.59,0.0
20200113:2110,0.0,0.0,0.0,0.0,4.61,3.86,0.0
20200113:2210,0.0,0.0,0.0,0.0,4.41,3.66,0.0
20200113:2310,0.0,0.0,0.0,0.0,4.44,3.45,0.0
20200114:0010,0.0,0.0,0.0,0.0,4.51,3.52,0.0
20200114:0110,0.0,0.0,0.0,0.0,4.2,3.52,0.0
20200114:0210,0.0,0.0,0.0,0.0,4.09,3.72,0.0
20200114:0310,0.0,0.0,0.0,0.0,4.32,4.21,0.0
20200114:0410,0.0,0.0,0.0,0.0,4.81,4.62,0.0
20200114:0510,0.0,0.0,0.0,0.0,5.19,4.83,0.0
20200114:0610,0.0,0.0,0.0,0.0,5.43,5.03,0.0
20200114:0710,0.0,0.0,0.0,0.0,6.01,5.52,0.0
20200114:0810,180.27,46.0,0.94,5.67,6.29,5.72,0.0
20200114:0910,232.45,108.15,2.04,11.45,6.78,5.79,0.0
20200114:1010,40.84,115.78,1.76,15.38,7.63,5.79,0.0
20200114:1110,24.75,118.65,1.77,17.12,8.38,5.1,0.0
20200114:1210,58.43,133.05,2.04,16.51,8.76,5.59,0.0
20200114:1310,36.3,101.0,1.51,13.6,9.09,5.59,0.0
20200114:1410,7.13,46.0,0.67,8.67,9.09,5.24,0.0
20200114:1510,0.0,0.0,0.0,0.0,8.97,5.1,0.0
20200114:1610,0.0,0.0,0.0,0.0,8.65,5.17,0.0
20200114:1710,0.0,0.0,0.0,0.0,8.44,5.38,0.0
20200114:1810,0.0,0.0,0.0,0.0,8.52,5.52,0.0
20200114:1910,0.0,0.0,0.0,0.0,8.54,5.72,0.0
20200114:2010,0.0,0.0,0.0,0.0,8.32,5.79,0.0
20200114:2110,0.0,0.0,0.0,0.0,8.09,5.79,0.0
20200114:2210,0.0,0.0,0.0,0.0,8.06,5.79,0.0
20200114:2310,0.0,0.0,0.0,0.0,8.03,5.66,0.0
20200115:0010,0.0,0.0,0.0,0.0,8.18,5.59,0.0
20200115:0110,0.0,0.0,0.0,0.0,8.29,5.52,0.0
20200115:0210,0.0,0.0,0.0,0.0,8.24,5.45,0.0
20200115:0310,0.0,0.0,0.0,0.0,8.09,5.1,0.0
20200115:0410,0.0,0.0,0.0,0.0,7.95,4.69,0.0
20200115:0510,0.0,0.0,0.0,0.0,8.05,4.69,0.0
20200115:0610,0.0,0.0,0.0,0.0,7.89,4.62,0.0
20200115:0710,0.0,0.0,0.0,0.0,7.72,4.9,0.0
20200115:0810,65.8,50.8,0.74,5.79,7.53,4.62,0.0
20200115:0910,346.65,96.9,2.36,11.59,7.85,4.55,0.0
20200115:1010,473.59,113.09,3.36,15.53,8.56,4.07,0.0
20200115:1110,511.15,128.12,3.78,17.3,9.21,4.41,0.0
20200115:1210,481.41,130.92,3.58,16.7,9.8,4.41,0.0
20200115:1310,389.78,120.03,2.81,13.8,10.09,4.69,0.0
20200115:1410,80.61,79.07,1.18,8.87,10.0,5.1,0.0
20200115:1510,0.0,0.0,0.0,0.0,9.35,4.83,0.0
20200115:1610,0.0,0.0,0.0,0.0,8.61,4.83,0.0
20200115:1710,0.0,0.0,0.0,0.0,8.28,4.97,0.0
20200115:1810,0.0,0.0,0.0,0.0,8.21,5.1,0.0
20200115:1910,0.0,0.0,0.0,0.0,8.09,4.9,0.0
20200115:2010,0.0,0.0,0.0,0.0,8.14,4.83,0.0
20200115:2110,0.0,0.0,0.0,0.0,8.25,4.9,0.0
20200115:2210,0.0,0.0,0.0,0.0,8.76,4.83,0.0
20200115:2310,0.0,0.0,0.0,0.0,9.22,4.55,0.0
20200116:0010,0.0,0.0,0.0,0.0,9.12,4.07,0.0
20200116:0110,0.0,0.0,0.0,0.0,8.91,3.59,0.0
20200116:0210,0.0,0.0,0.0,0.0,8.47,3.03,0.0
20200116:0310,0.0,0.0,0.0,0.0,7.55,2.48,0.0
20200116:0410,0.0,0.0,0.0,0.0,6.3,2.07,0.0
20200116:0510,0.0,0.0,0.0,0.0,5.38,1.86,0.0
20200116:0610,0.0,0.0,0.0,0.0,4.24,1.93,0.0
20200116:0710,0.0,0.0,0.0,0.0,4.28,1.24,0.0
20200116:0810,153.22,58.4,0.95,5.92,4.23,1.1,0.0
20200116:0910,329.05,100.81,2.34,11.73,4.83,0.9,0.0
20200116:1010,326.64,146.0,3.04,15.7,7.39,1.03,0.0
20200116:1110,258.57,169.73,3.12,17.48,9.07,1.72,0.0
20200116:1210,420.06,145.27,3.46,16.89,9.89,2.62,0.0
20200116:1310,426.84,111.48,2.92,14.0,10.16,2.69,0.0
20200116:1410,182.56,91.83,1.5,9.08,10.1,2.28,0.0
20200116:1510,0.0,5.6,0.08,2.51,9.31,1.93,0.0
20200116:1610,0.0,0.0,0.0,0.0,7.89,2.14,0.0
20200116:1710,0.0,0.0,0.0,0.0,6.89,2.21,0.0
20200116:1810,0.0,0.0,0.0,0.0,5.95,2.28,0.0
20200116:1910,0.0,0.0,0.0,0.0,4.64,2.0,0.0
20200116:2010,0.0,0.0,0.0,0.0,3.36,1.86,0.0
20200116:2110,0.0,0.0,0.0,0.0,2.45,1.86,0.0
20200116:2210,0.0,0.0,0.0,0.0,1.73,2.0,0.0
20200116:2310,0.0,0.0,0.0,0.0,1.23,2.07,0.0
20200117:0010,0.0,0.0,0.0,0.0,1.24,1.86,0.0
20200117:0110,0.0,0.0,0.0,0.0,1.34,1.72,0.0
20200117:0210,0.0,0.0,0.0,0.0,1.52,1.52,0.0
20200117:0310,0.0,0.0,0.0,0.0,1.85,1.31,0.0
20200117:0410,0.0,0.0,0.0,0.0,1.36,1.38,0.0
20200117:0510,0.0,0.0,0.0,0.0,-0.08,1.79,0.0
20200117:0610,0.0,0.0,0.0,0.0,-0.65,1.93,0.0
20200117:0710,0.0,0.0,0.0,0.0,-1.13,1.93,0.0
20200117:0810,158.07,58.5,0.98,6.05,-0.83,1.72,0.0
20200117:0910,281.09,109.54,2.26,11.89,1.37,1.24,0.0
20200117:1010,421.2,129.19,3.31,15.87,4.31,1.31,0.0
